iter	Passed	Remaining
0	147	147399
1	149	74628
2	151	50425
3	153	38175
4	154	30823
5	156	25950
6	158	22548
7	160	19947
8	162	17900
9	164	16284
10	166	14960
11	168	13862
12	170	12911
13	171	12085
14	173	11403
15	175	10788
16	177	10243
17	178	9762
18	180	9310
19	181	8895
20	182	8519
21	183	8178
22	185	7866
23	186	7601
24	188	7351
25	189	7105
26	190	6876
27	191	6662
28	192	6461
29	193	6270
30	194	6091
31	195	5921
32	196	5762
33	197	5612
34	198	5467
35	199	5329
36	199	5198
37	200	5077
38	201	4960
39	201	4847
40	202	4740
41	203	4643
42	204	4548
43	205	4457
44	206	4372
45	206	4288
46	207	4206
47	208	4126
48	208	4048
49	209	3974
50	209	3903
51	210	3834
52	210	3768
53	211	3705
54	212	3643
55	212	3585
56	213	3528
57	213	3474
58	214	3421
59	215	3370
60	215	3320
61	216	3272
62	216	3226
63	217	3180
64	218	3138
65	218	3098
66	219	3058
67	219	3014
68	220	2976
69	221	2941
70	221	2904
71	222	2868
72	223	2833
73	223	2799
74	224	2766
75	224	2733
76	225	2702
77	226	2671
78	226	2642
79	227	2612
80	228	2597
81	229	2570
82	230	2544
83	230	2518
84	231	2489
85	231	2464
86	232	2437
87	233	2415
88	233	2392
89	234	2370
90	235	2348
91	235	2326
92	236	2305
93	237	2285
94	237	2264
95	238	2243
96	238	2223
97	239	2203
98	239	2184
99	240	2165
100	241	2146
101	241	2125
102	242	2109
103	242	2093
104	243	2075
105	244	2058
106	244	2042
107	245	2025
108	245	2009
109	246	1993
110	246	1977
111	247	1962
112	248	1949
113	249	1935
114	249	1921
115	250	1906
116	250	1893
117	251	1881
118	252	1866
119	252	1853
120	253	1840
121	253	1827
122	254	1812
123	254	1799
124	255	1787
125	256	1776
126	256	1764
127	257	1751
128	257	1739
129	258	1728
130	258	1718
131	259	1707
132	260	1695
133	260	1685
134	261	1674
135	261	1663
136	262	1653
137	263	1643
138	263	1634
139	264	1625
140	265	1616
141	265	1607
142	266	1598
143	267	1589
144	267	1580
145	268	1570
146	269	1561
147	269	1553
148	270	1545
149	271	1536
150	271	1528
151	272	1519
152	273	1511
153	273	1502
154	274	1494
155	274	1486
156	275	1478
157	275	1470
158	276	1462
159	277	1454
160	277	1446
161	278	1439
162	279	1432
163	279	1425
164	280	1418
165	281	1411
166	281	1405
167	282	1398
168	283	1391
169	283	1385
170	284	1379
171	285	1372
172	285	1366
173	286	1359
174	287	1353
175	287	1346
176	288	1340
177	288	1333
178	289	1327
179	289	1320
180	290	1313
181	290	1307
182	291	1300
183	291	1294
184	292	1288
185	293	1283
186	293	1278
187	294	1272
188	295	1267
189	296	1262
190	296	1256
191	297	1251
192	297	1245
193	298	1240
194	299	1235
195	299	1230
196	300	1224
197	301	1219
198	301	1214
199	302	1208
200	302	1203
201	303	1198
202	303	1193
203	304	1188
204	305	1183
205	306	1179
206	306	1174
207	307	1169
208	307	1165
209	308	1160
210	309	1156
211	309	1151
212	310	1147
213	311	1143
214	312	1139
215	312	1135
216	313	1130
217	313	1125
218	314	1121
219	315	1116
220	315	1112
221	316	1107
222	316	1103
223	317	1099
224	317	1094
225	318	1090
226	319	1086
227	319	1082
228	320	1078
229	320	1073
230	321	1069
231	321	1065
232	322	1061
233	323	1057
234	323	1054
235	324	1050
236	325	1046
237	325	1043
238	326	1040
239	327	1038
240	328	1035
241	329	1032
242	330	1029
243	331	1026
244	332	1023
245	332	1020
246	333	1017
247	334	1013
248	334	1010
249	335	1006
250	336	1003
251	336	999
252	337	996
253	338	992
254	338	989
255	339	986
256	340	983
257	340	980
258	341	977
259	342	974
260	343	971
261	343	967
262	344	964
263	345	961
264	345	958
265	346	956
266	347	953
267	347	950
268	348	947
269	349	944
270	349	940
271	350	937
272	350	934
273	351	931
274	352	928
275	352	925
276	353	922
277	354	919
278	354	916
279	355	914
280	356	911
281	357	909
282	357	906
283	358	903
284	359	900
285	359	898
286	360	895
287	360	892
288	361	889
289	362	886
290	362	883
291	363	880
292	363	878
293	364	875
294	365	872
295	365	869
296	366	866
297	366	863
298	367	861
299	368	858
300	368	856
301	369	854
302	370	851
303	371	850
304	372	847
305	372	845
306	373	842
307	373	839
308	374	837
309	374	834
310	375	831
311	376	829
312	376	826
313	377	824
314	377	821
315	378	819
316	378	816
317	379	813
318	380	811
319	380	809
320	381	806
321	381	804
322	382	801
323	382	799
324	383	797
325	384	795
326	385	793
327	386	791
328	386	789
329	387	786
330	388	784
331	388	782
332	389	779
333	389	777
334	390	775
335	391	773
336	391	770
337	392	768
338	393	766
339	393	764
340	394	761
341	394	759
342	395	757
343	395	755
344	396	752
345	397	750
346	397	748
347	398	747
348	399	745
349	400	743
350	400	741
351	401	739
352	402	737
353	402	735
354	403	732
355	403	730
356	404	728
357	405	726
358	405	724
359	406	722
360	406	720
361	407	717
362	407	715
363	408	713
364	409	711
365	409	709
366	410	707
367	410	705
368	411	703
369	412	701
370	412	699
371	413	698
372	414	696
373	414	694
374	415	692
375	416	690
376	416	688
377	417	687
378	418	685
379	418	683
380	419	681
381	419	679
382	420	677
383	421	675
384	421	673
385	422	671
386	422	669
387	423	667
388	423	665
389	424	664
390	425	662
391	425	660
392	426	658
393	426	656
394	427	654
395	428	653
396	428	651
397	429	649
398	430	648
399	430	646
400	431	644
401	432	642
402	432	641
403	433	639
404	433	637
405	434	635
406	435	633
407	435	632
408	436	630
409	436	628
410	437	626
411	437	625
412	438	623
413	439	621
414	439	619
415	440	618
416	441	616
417	441	615
418	442	613
419	442	611
