iter	Passed	Remaining
0	187	187054
1	189	94520
2	190	63370
3	192	47838
4	194	38747
5	197	32664
6	198	28127
7	199	24714
8	200	22088
9	202	20012
10	203	18289
11	204	16863
12	207	15782
13	209	14784
14	212	13951
15	213	13159
16	215	12489
17	217	11864
18	218	11298
19	220	10792
20	221	10326
21	223	9920
22	224	9535
23	225	9176
24	227	8863
25	228	8566
26	229	8284
27	231	8022
28	232	7777
29	234	7575
30	236	7386
31	237	7191
32	239	7015
33	240	6833
34	241	6662
35	243	6510
36	245	6377
37	245	6226
38	246	6085
39	248	5971
40	252	5905
41	253	5788
42	255	5682
43	263	5731
44	265	5636
45	267	5541
46	268	5450
47	270	5361
48	272	5283
49	275	5225
50	276	5141
51	277	5057
52	278	4976
53	279	4896
54	280	4824
55	282	4766
56	284	4700
57	289	4703
58	291	4641
59	294	4608
60	295	4546
61	296	4489
62	297	4431
63	299	4374
64	300	4318
65	301	4262
66	304	4241
67	306	4199
68	307	4150
69	309	4107
70	312	4087
71	314	4057
72	317	4029
73	319	4001
74	320	3955
75	321	3910
76	322	3868
77	323	3829
78	325	3793
79	326	3756
80	327	3714
81	328	3677
82	328	3633
83	330	3600
84	331	3567
85	332	3538
86	335	3515
87	335	3480
88	336	3447
89	337	3411
90	338	3376
91	338	3342
92	339	3308
93	339	3275
94	340	3242
95	340	3210
96	341	3179
97	342	3148
98	342	3118
99	343	3088
100	343	3060
101	345	3038
102	346	3016
103	347	2992
104	347	2966
105	348	2940
106	349	2914
107	349	2888
108	350	2863
109	350	2839
110	351	2814
111	352	2791
112	352	2768
113	353	2745
114	353	2722
115	354	2700
116	354	2677
117	355	2656
118	356	2636
119	356	2616
120	357	2595
121	357	2574
122	358	2555
123	359	2538
124	360	2520
125	361	2505
126	361	2486
127	362	2468
128	362	2450
129	363	2433
130	364	2415
131	364	2398
132	365	2381
133	365	2364
134	366	2348
135	367	2334
136	368	2318
137	368	2302
138	369	2287
139	369	2272
140	370	2257
141	370	2241
142	371	2226
143	372	2211
144	372	2197
145	373	2186
146	374	2175
147	375	2162
148	376	2149
149	376	2135
150	377	2122
151	378	2108
152	378	2095
153	379	2082
154	379	2070
155	380	2057
156	380	2045
157	381	2032
158	382	2020
159	382	2008
160	383	1995
161	383	1984
162	384	1973
163	384	1961
164	385	1950
165	386	1939
166	386	1928
167	387	1918
168	388	1910
169	389	1900
170	389	1890
171	390	1880
172	391	1869
173	391	1859
174	392	1849
175	392	1839
176	393	1829
177	393	1819
178	394	1809
179	395	1800
180	395	1790
181	396	1781
182	396	1771
183	397	1762
184	398	1753
185	398	1744
186	399	1735
187	399	1726
188	400	1717
189	400	1709
190	401	1701
191	402	1695
